Name,Price,Site
MARS Edge Of Desire Lip Liner,Rs. 69.0,Nykaa
"BLUE HEAVEN Smudge Free ,Water Proof Lines & Designs Sk...",Rs. 149.0,Flipkart
Lakme Insta Eye Liner,Rs. 150.0,Nykaa
Blue Heaven Intense Easy Sketch Eyeliner - Extreme Black (1ml),Rs. 169.0,Tira Beauty
Faces Canada Magnet Eyes Kajal - Intense Black (0.35g),Rs. 169.0,Tira Beauty
Plum Natur Studio All-Day-Wear Kohl Kajal With Free Sharpener FSBB - Black Brilliance (1.2g),Rs. 182.0,Tira Beauty
M.A.C In Extreme Dimension 24Hr Kajal Eye Liner - Black (0.8g),Rs. 182.0,Tira Beauty
SUGAR POP Matte Eyeliner,Rs. 197.0,Nykaa
SUGAR POP Matte Eyeliner - 02 Blue 4.5 ml,Rs. 199.0,Flipkart
Swiss Beauty Colour Me Happy Eyeliner,Rs. 212.0,Nykaa
Just Herbs Liquid Eyeliner with Waterproof & Smudge-Pro...,Rs. 221.0,Flipkart
Just Herbs Liquid Eyeliner with Waterproof & Smudge-Pro...,Rs. 221.0,Flipkart
Just Herbs Liquid Eyeliner with Waterproof & Smudge-Pro...,Rs. 221.0,Flipkart
Lakme 9 To 5 Eyeconic Liquid Liner,Rs. 221.0,Nykaa
Kay Beauty Kohlstar 24 Hour Kajal - Spade,Rs. 224.0,Nykaa
Maybelline New York Colossal Bold Eyeliner - Black (3ml),Rs. 231.0,Tira Beauty
Maybelline New York Colossal Eye Kit,Rs. 231.0,Tira Beauty
SUGAR Kohl Of Honour Intense Kajal,Rs. 232.0,Nykaa
Faces Canada Magneteyes Eyeliner - Dramatic Black Finish,Rs. 243.0,Nykaa
Lakmé Eyeconic Liquid Eyeliner 4.5 ml,Rs. 260.0,Flipkart
"SWISS BEAUTY Ultra Black Liquid Pen Eyeliner, Eye MakeU...",Rs. 262.0,Flipkart
Maybelline New York Colossal Bold Eyeliner - Black,Rs. 275.0,Nykaa
Lakme Eyeconic Kajal Twin Pack - (2Pcs),Rs. 287.0,Tira Beauty
Lakme Insta Eye Liner - Black (9ml),Rs. 287.0,Tira Beauty
SUGAR POP Waterproof Eyeliner - 01 Black,Rs. 296.0,Nykaa
SUGAR POP WATERPROOF EYELINER - BLACK 1.5 ml,Rs. 299.0,Flipkart
SWISS BEAUTY Eyebrow 12 7 g,Rs. 300.0,Flipkart
Nykaa Black Magic Liquid Eyeliner - Super Black 01,Rs. 325.0,Nykaa
Pro Playmate Eyeliner Matte Colors Pure Black 01,Rs. 328.0,Kindlife
Pro Playmate Eyeliner Matte Colors Royal White 02,Rs. 328.0,Kindlife
Pro Playmate Eyeliner Matte Colors Denim Blue 03,Rs. 328.0,Kindlife
Pro Playmate Eyeliner Matte Colors Baked Brown 04,Rs. 328.0,Kindlife
Pro Playmate Eyeliner Matte Colors Emerald Green 05,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Silver 01,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Gold 02,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Blue 03,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Green 04,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Grey 05,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Copper 06,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Bronze 07,Rs. 328.0,Kindlife
Pro Frame Me! Eyeliner Metallic Colors Pink 08,Rs. 328.0,Kindlife
SWISS BEAUTY 2 IN 1 EYEBROW & GEL EYELINER 7 g,Rs. 339.0,Flipkart
Pop Eyeliner - Dark matter Black Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner -Fading Love Pink Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - High Maintenance Cyan Green Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner -Honeycomb Yellow Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Cloud Nine White Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Eternal Eclipse Rust Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Lucid Dreaming Purple Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Space Goddess Pink Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Power Move Emerald Mettalic - 4ml,Rs. 375.0,Kindlife
Eye Gotta Feeling Devil's Advocate-Orange - Pop Eyeliner Matte,Rs. 375.0,Kindlife
Maybelline New York Colossal Kajal - Black (0.35g),Rs. 412.0,Tira Beauty
Lakme 9 To 5 Eyeconic Liquid Liner - Intense Black (4.5ml),Rs. 412.0,Tira Beauty
Kay Beauty Quick Dry Liquid Eyeliner,Rs. 449.0,Nykaa
Maybelline New York Tattoo Eye Liner Gel Color Pencil Metall...,Rs. 499.0,Nykaa
Maybelline New York Lasting Drama Gel Eyeliner With Expert E...,Rs. 500.0,Nykaa
Lakme Eyeconic Pro Brush Liner,Rs. 539.0,Nykaa
SUGAR Wingman Waterproof Microliner - 01 I'll Be Black(1.6ml...,Rs. 557.0,Nykaa
Maybelline New York Line Tattoo High Impact Liner - Intense ...,Rs. 599.0,Nykaa
NYX Professional Makeup Epic Ink Liner,Rs. 699.0,Nykaa
"Eye Gotta Feeling (Eyeliner, Kajal, Mascara) - Ultimate Black Combo",Rs. 729.0,Kindlife
M.A.C In Extreme Dimension 24Hr Kajal Eye Liner,Rs. 750.0,Nykaa
Maybelline New York Colossal Combo - Kajal & Eyeliner,Rs. 819.0,Tira Beauty
Faces Canada Ultime Pro Mini A Matte Made In Heaven Ink Eyeliner - Black (0.6ml),Rs. 819.0,Tira Beauty
Insight Cosmetics All Things Good Kit,Rs. 1877.0,Nykaa
